iter	Passed	Remaining
0	149	149096
1	150	75026
2	150	50177
3	151	37793
4	152	30346
5	153	25413
6	154	21852
7	154	19178
8	155	17103
9	155	15438
10	156	14077
11	157	12948
12	157	11988
13	158	11166
14	159	10452
15	159	9827
16	160	9283
17	161	8796
18	161	8360
19	162	7967
20	163	7615
21	164	7292
22	164	6994
23	165	6723
24	165	6472
25	166	6239
26	167	6024
27	167	5824
28	168	5637
29	169	5464
30	169	5302
31	170	5150
32	170	5007
33	171	4872
34	172	4744
35	172	4626
36	173	4513
37	174	4407
38	174	4305
39	175	4209
40	176	4116
41	176	4028
42	177	3946
43	177	3866
44	178	3794
45	179	3722
46	180	3651
47	180	3583
48	181	3521
49	182	3462
50	182	3404
51	183	3346
52	184	3293
53	185	3243
54	185	3191
55	186	3141
56	187	3095
57	187	3051
58	188	3008
59	189	2965
60	190	2925
61	190	2884
62	191	2847
63	192	2811
64	192	2774
65	193	2740
66	194	2707
67	195	2673
68	195	2640
69	196	2608
70	197	2578
71	197	2548
72	198	2519
73	198	2490
74	199	2462
75	200	2436
76	200	2409
77	201	2382
78	202	2357
79	202	2332
80	203	2309
81	204	2285
82	204	2259
83	205	2236
84	205	2215
85	206	2194
86	207	2174
87	207	2154
88	208	2133
89	209	2113
90	209	2094
91	210	2076
92	211	2058
93	211	2041
94	212	2023
95	213	2007
96	213	1989
97	214	1973
98	214	1956
99	215	1940
100	216	1924
101	216	1908
102	217	1893
103	218	1879
104	218	1866
105	219	1852
106	220	1838
107	221	1825
108	221	1812
109	222	1799
110	223	1786
111	223	1773
112	224	1761
113	225	1749
114	225	1737
115	226	1725
116	227	1713
117	227	1702
118	228	1690
119	228	1678
120	229	1667
121	229	1655
122	230	1644
123	231	1635
124	232	1624
125	232	1614
126	233	1603
127	233	1593
128	234	1584
129	235	1574
130	235	1564
131	236	1555
132	237	1546
133	237	1537
134	238	1528
135	239	1519
136	239	1510
137	240	1501
138	240	1492
139	241	1484
140	242	1475
141	242	1465
142	243	1458
143	244	1450
144	244	1442
145	245	1434
146	245	1426
147	246	1418
148	247	1411
149	247	1403
150	248	1396
151	249	1390
152	249	1383
153	250	1376
154	251	1368
155	251	1361
156	252	1354
157	252	1347
158	253	1340
159	254	1334
160	254	1326
161	255	1319
162	255	1313
163	256	1307
164	257	1301
165	257	1294
166	258	1288
167	258	1282
168	259	1275
169	260	1269
170	260	1264
171	261	1258
172	262	1253
173	263	1248
174	263	1242
175	264	1237
176	264	1231
177	265	1225
178	266	1220
179	266	1214
180	267	1209
181	267	1204
182	268	1199
183	269	1193
184	269	1188
185	270	1183
186	270	1178
187	271	1173
188	272	1167
189	272	1162
190	273	1157
191	274	1153
192	274	1148
193	275	1145
194	276	1142
195	277	1137
196	277	1133
197	278	1128
198	279	1123
199	279	1119
200	280	1114
201	281	1110
202	281	1106
203	282	1101
204	283	1097
205	283	1093
206	284	1088
207	284	1084
208	285	1080
209	286	1076
210	286	1072
211	287	1068
212	288	1064
213	288	1060
214	289	1056
215	290	1052
216	290	1049
217	291	1045
218	292	1042
219	292	1038
220	293	1034
221	294	1031
222	294	1027
223	295	1023
224	296	1019
225	296	1016
226	297	1013
227	298	1009
228	299	1007
229	300	1005
230	301	1002
231	301	999
232	302	996
233	303	992
234	304	989
235	304	986
236	305	983
237	306	980
238	306	977
239	307	973
240	308	970
241	308	967
242	309	963
243	310	960
244	310	957
245	311	953
246	311	950
247	312	947
248	313	945
249	313	941
250	314	938
251	315	935
252	315	932
253	316	929
254	316	925
255	317	922
256	318	920
257	319	917
258	319	914
259	320	911
260	320	908
261	321	905
262	322	902
263	322	899
264	323	896
265	323	893
266	324	891
267	325	888
268	325	885
269	326	882
270	327	879
271	327	877
272	328	874
273	328	871
274	329	868
275	330	865
276	330	863
277	331	860
278	332	858
279	332	855
280	333	853
281	333	850
282	334	847
283	335	845
284	335	842
285	336	840
286	337	837
287	337	835
288	338	832
289	339	829
290	339	827
291	340	824
292	340	822
293	341	819
294	342	817
295	342	814
296	343	812
297	343	810
298	344	807
299	345	805
300	345	802
301	346	800
302	347	798
303	347	795
304	348	793
305	348	791
306	349	788
307	350	786
308	350	784
309	351	782
310	352	780
311	352	777
312	353	775
313	353	773
314	354	770
315	355	768
316	355	766
317	356	764
318	357	762
319	357	760
320	358	757
321	358	755
322	359	753
323	359	751
324	360	748
325	361	746
326	361	744
327	362	743
328	363	740
329	363	738
330	364	736
331	365	734
332	365	732
333	366	730
334	366	728
335	367	726
336	368	724
337	368	722
338	369	720
339	370	718
340	370	716
341	371	714
342	371	712
343	372	710
344	373	708
345	373	706
346	374	704
347	374	702
348	375	700
349	376	698
350	376	696
